Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
293,19,Female,Undergraduate,USA,7,TikTok,Yes,5.1,4,In Relationship,4,9
294,21,Male,Graduate,UK,4.7,Instagram,Yes,6.9,6,Single,3,7
295,20,Female,Undergraduate,Australia,4,Facebook,No,7.8,7,In Relationship,2,5
296,22,Male,Graduate,Germany,3.2,Instagram,No,8.3,8,Single,1,4
297,19,Female,Undergraduate,Japan,2.7,LINE,No,8.9,8,Single,1,3
298,21,Male,Graduate,Italy,4.9,TikTok,Yes,7.2,5,In Relationship,3,8
299,20,Female,Undergraduate,South Korea,4.2,KakaoTalk,Yes,7.6,6,Single,3,6
300,22,Male,Graduate,Russia,3.7,VKontakte,No,8.3,7,In Relationship,2,5
301,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5,4,Single,4,9
302,21,Male,Graduate,UK,4.6,Facebook,Yes,7,6,In Relationship,3,7
303,20,Female,Undergraduate,Australia,3.9,Instagram,No,7.9,7,Single,2,5
304,22,Male,Graduate,Germany,3.1,Facebook,No,8.4,8,In Relationship,1,4
305,19,Female,Undergraduate,Spain,5.2,Instagram,Yes,6.8,6,Single,3,7
306,21,Male,Graduate,Denmark,4.1,Facebook,No,7.8,8,In Relationship,2,4
Student_ID,20,Female,Undergraduate,Ireland,5,Instagram,Yes,7,7,Single,3,6
307,22,Male,Graduate,India,5.8,WhatsApp,Yes,6.5,5,In Relationship,4,8
308,19,Female,Undergraduate,Switzerland,4,Instagram,No,7.9,8,Single,2,4
309,21,Male,Graduate,Turkey,5.5,Instagram,Yes,6.7,6,Single,3,7
310,20,Female,Undergraduate,USA,6.8,TikTok,Yes,5.5,5,In Relationship,4,9
311,22,Male,Graduate,Mexico,5.6,WhatsApp,Yes,6.6,6,Single,3,7
312,19,Female,Undergraduate,France,4.5,Instagram,No,7.5,7,In Relationship,2,5
313,21,Male,Graduate,Canada,5.3,Instagram,Yes,6.9,6,Single,3,7
314,20,Female,Undergraduate,Spain,5.1,TikTok,Yes,6.7,6,Single,3,7
315,22,Male,Graduate,Denmark,3.9,Facebook,No,7.9,8,In Relationship,2,4
316,19,Female,Undergraduate,Ireland,4.8,Instagram,Yes,7.1,7,Single,3,6
317,21,Male,Graduate,India,5.9,WhatsApp,Yes,6.4,5,In Relationship,4,8
318,20,Female,Undergraduate,Switzerland,3.8,Instagram,No,8,8,Single,2,4
319,22,Male,Graduate,Turkey,5.4,TikTok,Yes,6.8,6,Single,3,7
320,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,In Relationship,4,9
321,21,Male,Graduate,Mexico,5.7,WhatsApp,Yes,6.5,6,Single,3,7
322,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,In Relationship,2,5
323,22,Male,Graduate,Canada,5.2,TikTok,Yes,7,6,Single,3,7
324,19,Female,Undergraduate,Spain,5,Instagram,Yes,6.9,6,Single,3,7
Student_ID,21,Male,Graduate,Denmark,3.8,Facebook,No,8,8,In Relationship,2,4
325,20,Female,Undergraduate,Ireland,4.7,TikTok,Yes,7.2,7,Single,3,6
326,22,Male,Graduate,India,6,WhatsApp,Yes,6.3,5,In Relationship,4,8
327,19,Female,Undergraduate,Switzerland,3.7,Instagram,No,8.1,8,Single,2,4
328,21,Male,Graduate,Turkey,5.3,Instagram,Yes,6.9,6,Single,3,7
329,20,Female,Undergraduate,USA,7,TikTok,Yes,5.3,5,In Relationship,4,9
330,22,Male,Graduate,Mexico,5.8,WhatsApp,Yes,6.4,6,Single,3,7
331,19,Female,Undergraduate,France,4.3,Instagram,No,7.7,7,In Relationship,2,5
332,21,Male,Graduate,Canada,5.1,Instagram,Yes,7.1,6,Single,3,7
333,20,Female,Undergraduate,Spain,4.9,TikTok,Yes,7,6,Single,3,7
334,22,Male,Graduate,Denmark,3.7,Facebook,No,8.1,8,In Relationship,2,4
335,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,Single,3,6
336,21,Male,Graduate,India,6.1,WhatsApp,Yes,6.2,5,In Relationship,4,8
337,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,Single,2,4
338,22,Male,Graduate,Turkey,5.2,TikTok,Yes,7,6,Single,3,7
339,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.2,5,In Relationship,4,9
340,21,Male,Graduate,Mexico,5.9,WhatsApp,Yes,6.3,6,Single,3,7
341,20,Female,Undergraduate,France,4.2,Instagram,No,7.8,7,In Relationship,2,5
342,22,Male,Graduate,Canada,5,TikTok,Yes,7.2,6,Single,3,7
Student_ID,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,Single,3,7
343,21,Male,Graduate,Denmark,3.6,Facebook,No,8.2,8,In Relationship,2,4
344,20,Female,Undergraduate,Ireland,4.5,TikTok,Yes,7.4,7,Single,3,6
345,22,Male,Graduate,India,6.2,WhatsApp,Yes,6.1,5,In Relationship,4,8
346,19,Female,Undergraduate,Switzerland,3.5,Instagram,No,8.3,8,Single,2,4
347,21,Male,Graduate,Turkey,5.1,Instagram,Yes,7.1,6,Single,3,7
348,20,Female,Undergraduate,USA,7.2,TikTok,Yes,5.1,5,In Relationship,4,9
349,22,Male,Graduate,Mexico,6,WhatsApp,Yes,6.2,6,Single,3,7
350,19,Female,Undergraduate,France,4.1,Instagram,No,7.9,7,In Relationship,2,5
351,21,Male,Graduate,Canada,4.9,Instagram,Yes,7.3,6,Single,3,7
352,20,Female,Undergraduate,Spain,4.7,TikTok,Yes,7.2,6,Single,3,7
353,22,Male,Graduate,Denmark,3.5,Facebook,No,8.3,8,In Relationship,2,4
354,19,Female,Undergraduate,Ireland,4.4,Instagram,Yes,7.5,7,Single,3,6
355,21,Male,Graduate,India,6.3,WhatsApp,Yes,6,5,In Relationship,4,8
356,20,Female,Undergraduate,Switzerland,3.4,Instagram,No,8.4,8,Single,2,4
357,22,Male,Graduate,Turkey,5,TikTok,Yes,7.2,6,Single,3,7
358,19,Female,Undergraduate,USA,7.3,Instagram,Yes,5,5,In Relationship,4,9
359,21,Male,Graduate,Mexico,6.1,WhatsApp,Yes,6.1,6,Single,3,7
360,20,Female,Undergraduate,France,4,Instagram,No,8,7,In Relationship,2,5
Student_ID,22,Male,Graduate,Canada,4.8,TikTok,Yes,7.4,6,Single,3,7
361,19,Female,Undergraduate,Spain,4.6,Instagram,Yes,7.3,6,Single,3,7
362,21,Male,Graduate,Denmark,3.4,Facebook,No,8.4,8,In Relationship,2,4
363,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,Single,3,6
364,22,Male,Graduate,India,6.4,WhatsApp,Yes,5.9,5,In Relationship,4,8
365,19,Female,Undergraduate,Switzerland,3.3,Instagram,No,8.5,8,Single,2,4
366,21,Male,Graduate,Turkey,4.9,Instagram,Yes,7.3,6,Single,3,7
367,20,Female,Undergraduate,USA,7.4,TikTok,Yes,4.9,5,In Relationship,4,9
368,22,Male,Graduate,Mexico,6.2,WhatsApp,Yes,6,6,Single,3,7
369,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,In Relationship,2,5
370,21,Male,Graduate,Canada,4.7,Instagram,Yes,7.5,6,Single,3,7
371,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,Single,3,7
372,22,Male,Graduate,Denmark,3.3,Facebook,No,8.5,8,In Relationship,2,4
373,19,Female,Undergraduate,Ireland,4.2,Instagram,Yes,7.7,7,Single,3,6
374,21,Male,Graduate,India,6.5,WhatsApp,Yes,5.8,5,In Relationship,4,8
375,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4
376,22,Male,Graduate,Turkey,4.8,TikTok,Yes,7.4,6,Single,3,7
377,19,Female,Undergraduate,USA,7.5,Instagram,Yes,4.8,5,In Relationship,4,9
378,21,Male,Graduate,Mexico,6.3,WhatsApp,Yes,5.9,6,Single,3,7
Student_ID,20,Female,Undergraduate,France,3.8,Instagram,No,8.2,7,In Relationship,2,5
379,22,Male,Graduate,Canada,4.6,TikTok,Yes,7.6,6,Single,3,7
380,19,Female,Undergraduate,Spain,4.4,Instagram,Yes,7.5,6,Single,3,7
381,21,Male,Graduate,Denmark,3.2,Facebook,No,8.6,8,In Relationship,2,4
382,20,Female,Undergraduate,Ireland,4.1,TikTok,Yes,7.8,7,Single,3,6
383,22,Male,Graduate,India,6.6,WhatsApp,Yes,5.7,5,In Relationship,4,8
384,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,Single,2,4
385,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7
386,20,Female,Undergraduate,USA,7.6,TikTok,Yes,4.7,5,In Relationship,4,9
387,22,Male,Graduate,Mexico,6.4,WhatsApp,Yes,5.8,6,Single,3,7
388,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5
389,21,Male,Graduate,Canada,4.5,Instagram,Yes,7.7,6,Single,3,7
390,20,Female,Undergraduate,Spain,4.3,TikTok,Yes,7.6,6,Single,3,7
391,22,Male,Graduate,Denmark,3.1,Facebook,No,8.7,8,In Relationship,2,4
392,19,Female,Undergraduate,Ireland,4,Instagram,Yes,7.9,7,Single,3,6
393,21,Male,Graduate,India,6.7,WhatsApp,Yes,5.6,5,In Relationship,4,8
394,20,Female,Undergraduate,Switzerland,3,Instagram,No,8.8,8,Single,2,4
395,22,Male,Graduate,Turkey,4.6,TikTok,Yes,7.6,6,Single,3,7
396,19,Female,Undergraduate,USA,7.7,Instagram,Yes,4.6,5,In Relationship,4,9
Student_ID,21,Male,Graduate,Mexico,6.5,WhatsApp,Yes,5.7,6,Single,3,7
397,20,Female,Undergraduate,France,3.6,Instagram,No,8.4,7,In Relationship,2,5
398,22,Male,Graduate,Canada,4.4,TikTok,Yes,7.8,6,Single,3,7
399,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,Single,3,7
400,21,Male,Graduate,Denmark,3,Facebook,No,8.8,8,In Relationship,2,4
401,20,Female,Undergraduate,Ireland,3.9,TikTok,Yes,8,7,Single,3,6
402,22,Male,Graduate,India,6.8,WhatsApp,Yes,5.5,5,In Relationship,4,8
403,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4
404,21,Male,Graduate,Turkey,4.5,Instagram,Yes,7.7,6,Single,3,7
405,20,Female,Undergraduate,USA,7.8,TikTok,Yes,4.5,5,In Relationship,4,9
406,22,Male,Graduate,Mexico,6.6,WhatsApp,Yes,5.6,6,Single,3,7
407,19,Female,Undergraduate,France,3.5,Instagram,No,8.5,7,In Relationship,2,5
408,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7
409,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,Single,3,7
410,22,Male,Graduate,Denmark,2.9,Facebook,No,8.9,8,In Relationship,2,4
411,19,Female,Undergraduate,Ireland,3.8,Instagram,Yes,8.1,7,Single,3,6
412,21,Male,Graduate,India,6.9,WhatsApp,Yes,5.4,5,In Relationship,4,8
413,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9,8,Single,2,4
414,22,Male,Graduate,Turkey,4.4,TikTok,Yes,7.8,6,Single,3,7
Student_ID,19,Female,Undergraduate,USA,7.9,Instagram,Yes,4.4,5,In Relationship,4,9
415,21,Male,Graduate,Mexico,6.7,WhatsApp,Yes,5.5,6,Single,3,7
416,20,Female,Undergraduate,France,3.4,Instagram,No,8.6,7,In Relationship,2,5
417,22,Male,Graduate,Canada,4.2,TikTok,Yes,8,6,Single,3,7
418,19,Female,Undergraduate,Spain,4,Instagram,Yes,7.9,6,Single,3,7
419,21,Male,Graduate,Denmark,2.8,Facebook,No,9,8,In Relationship,2,4
420,20,Female,Undergraduate,Ireland,3.7,TikTok,Yes,8.2,7,Single,3,6
421,22,Male,Graduate,India,7,WhatsApp,Yes,5.3,5,In Relationship,4,8
422,19,Female,Undergraduate,Switzerland,2.7,Instagram,No,9.1,8,Single,2,4
423,21,Male,Graduate,Turkey,4.3,Instagram,Yes,7.9,6,Single,3,7
424,20,Female,Undergraduate,USA,8,TikTok,Yes,4.3,5,In Relationship,4,9
425,22,Male,Graduate,Mexico,6.8,WhatsApp,Yes,5.4,6,Single,3,7
426,19,Female,Undergraduate,France,3.3,Instagram,No,8.7,7,In Relationship,2,5
427,21,Male,Graduate,Canada,4.1,Instagram,Yes,8.1,6,Single,3,7
428,20,Female,Undergraduate,Spain,3.9,TikTok,Yes,8,6,Single,3,7
429,22,Male,Graduate,Denmark,2.7,Facebook,No,9.1,8,In Relationship,2,4
430,19,Female,Undergraduate,Ireland,3.6,Instagram,Yes,8.3,7,Single,3,6
431,21,Male,Graduate,India,7.1,WhatsApp,Yes,5.2,5,In Relationship,4,8
432,20,Female,Undergraduate,Switzerland,2.6,Instagram,No,9.2,8,Single,2,4
Student_ID,22,Male,Graduate,Turkey,4.2,TikTok,Yes,8,6,Single,3,7
433,19,Female,Undergraduate,USA,8.1,Instagram,Yes,4.2,5,In Relationship,4,9
434,21,Male,Graduate,Mexico,6.9,WhatsApp,Yes,5.3,6,Single,3,7
435,20,Female,Undergraduate,France,3.2,Instagram,No,8.8,7,In Relationship,2,5
436,22,Male,Graduate,Canada,4,TikTok,Yes,8.2,6,Single,3,7
437,19,Female,Undergraduate,Spain,3.8,Instagram,Yes,8.1,6,Single,3,7
438,21,Male,Graduate,Denmark,2.6,Facebook,No,9.2,8,In Relationship,2,4
439,20,Female,Undergraduate,Ireland,3.5,TikTok,Yes,8.4,7,Single,3,6
440,22,Male,Graduate,India,7.2,WhatsApp,Yes,5.1,5,In Relationship,4,8
441,19,Female,Undergraduate,Switzerland,2.5,Instagram,No,9.3,8,Single,2,4
442,21,Male,Graduate,Turkey,4.1,Instagram,Yes,8.1,6,Single,3,7
443,20,Female,Undergraduate,USA,8.2,TikTok,Yes,4.1,5,In Relationship,4,9
444,22,Male,Graduate,Mexico,7,WhatsApp,Yes,5.2,6,Single,3,7
445,19,Female,Undergraduate,France,3.1,Instagram,No,8.9,7,In Relationship,2,5
446,21,Male,Graduate,Canada,3.9,Instagram,Yes,8.3,6,Single,3,7
447,20,Female,Undergraduate,Spain,3.7,TikTok,Yes,8.2,6,Single,3,7
448,22,Male,Graduate,Denmark,2.5,Facebook,No,9.3,8,In Relationship,2,4
449,19,Female,Undergraduate,Ireland,3.4,Instagram,Yes,8.5,7,Single,3,6
450,21,Male,Graduate,India,7.3,WhatsApp,Yes,5,5,In Relationship,4,8
Student_ID,20,Female,Undergraduate,Switzerland,2.4,Instagram,No,9.4,8,Single,2,4
451,22,Male,Graduate,Turkey,4,TikTok,Yes,8.2,6,Single,3,7
452,19,Female,Undergraduate,USA,8.3,Instagram,Yes,4,5,In Relationship,4,9
453,21,Male,Graduate,Mexico,7.1,WhatsApp,Yes,5.1,6,Single,3,7
454,20,Female,Undergraduate,France,3,Instagram,No,9,7,In Relationship,2,5
455,22,Male,Graduate,Canada,3.8,TikTok,Yes,8.4,6,Single,3,7
456,19,Female,Undergraduate,Spain,3.6,Instagram,Yes,8.3,6,Single,3,7
457,21,Male,Graduate,Denmark,2.4,Facebook,No,9.4,8,In Relationship,2,4
458,20,Female,Undergraduate,Ireland,3.3,TikTok,Yes,8.6,7,Single,3,6
459,22,Male,Graduate,India,7.4,WhatsApp,Yes,4.9,5,In Relationship,4,8
460,19,Female,Undergraduate,Switzerland,2.3,Instagram,No,9.5,8,Single,2,4
461,21,Male,Graduate,Turkey,3.9,Instagram,Yes,8.3,6,Single,3,7
462,20,Female,Undergraduate,USA,8.4,TikTok,Yes,3.9,5,In Relationship,4,9
463,22,Male,Graduate,Mexico,7.2,WhatsApp,Yes,5,6,Single,3,7
464,19,Female,Undergraduate,France,2.9,Instagram,No,9.1,7,In Relationship,2,5
465,21,Male,Graduate,Canada,3.7,Instagram,Yes,8.5,6,Single,3,7
466,20,Female,Undergraduate,Spain,3.5,TikTok,Yes,8.4,6,Single,3,7
467,22,Male,Graduate,Denmark,2.3,Facebook,No,9.5,8,In Relationship,2,4
468,19,Female,Undergraduate,Ireland,3.2,Instagram,Yes,8.7,7,Single,3,6
Student_ID,21,Male,Graduate,India,7.5,WhatsApp,Yes,4.8,5,In Relationship,4,8
469,20,Female,Undergraduate,Switzerland,2.2,Instagram,No,9.6,8,Single,2,4
470,22,Male,Graduate,Turkey,3.8,TikTok,Yes,8.4,6,Single,3,7
471,19,Female,Undergraduate,USA,8.5,Instagram,Yes,3.8,5,In Relationship,4,9
472,21,Male,Graduate,Mexico,7.3,WhatsApp,Yes,4.9,6,Single,3,7
473,20,Female,Undergraduate,France,2.8,Instagram,No,9.2,7,In Relationship,2,5
474,22,Male,Graduate,Canada,3.6,TikTok,Yes,8.6,6,Single,3,7
475,19,Female,Undergraduate,Brazil,6.2,WhatsApp,Yes,6.3,6,Single,3,7
476,21,Male,Graduate,China,4.5,WeChat,No,7.8,7,In Relationship,2,5
477,20,Female,Undergraduate,Netherlands,3.8,Instagram,No,8.2,8,Single,2,4
478,22,Male,Graduate,New Zealand,4.7,Instagram,Yes,7.5,7,In Relationship,3,6
479,19,Female,Undergraduate,Singapore,5.1,TikTok,Yes,7,6,Single,3,7
480,21,Male,Graduate,Malaysia,5.5,WhatsApp,Yes,6.8,6,Single,3,7
481,20,Female,Undergraduate,UAE,6.5,Instagram,Yes,6.5,5,In Relationship,4,8
482,22,Male,Graduate,Poland,4.2,Facebook,No,7.9,7,Single,2,5
483,19,Female,Undergraduate,India,6.8,WhatsApp,Yes,6,5,In Relationship,4,8
484,21,Male,Graduate,Canada,4.8,Instagram,Yes,7.4,7,Single,3,6
485,20,Female,Undergraduate,Brazil,6.1,Instagram,Yes,6.4,6,Single,3,7
486,22,Male,Graduate,China,4.4,WeChat,No,7.9,7,In Relationship,2,5
Student_ID,19,Female,Undergraduate,Netherlands,3.7,TikTok,No,8.3,8,Single,2,4
487,21,Male,Graduate,New Zealand,4.6,Instagram,Yes,7.6,7,In Relationship,3,6
488,20,Female,Undergraduate,Singapore,5.2,TikTok,Yes,6.9,6,Single,3,7
489,22,Male,Graduate,Malaysia,5.6,WhatsApp,Yes,6.7,6,Single,3,7
490,19,Female,Undergraduate,UAE,6.6,Instagram,Yes,6.4,5,In Relationship,4,8
491,21,Male,Graduate,Poland,4.1,Facebook,No,8,7,Single,2,5
492,20,Female,Undergraduate,India,6.9,WhatsApp,Yes,5.9,5,In Relationship,4,8
493,22,Male,Graduate,Canada,4.7,TikTok,Yes,7.5,7,Single,3,6
494,19,Female,Undergraduate,Brazil,6,WhatsApp,Yes,6.5,6,Single,3,7
495,21,Male,Graduate,China,4.3,WeChat,No,8,7,In Relationship,2,5
496,20,Female,Undergraduate,Netherlands,3.6,Instagram,No,8.4,8,Single,2,4
497,22,Male,Graduate,New Zealand,4.5,Facebook,Yes,7.7,7,In Relationship,3,6
498,19,Female,Undergraduate,Singapore,5.3,TikTok,Yes,6.8,6,Single,3,7
499,21,Male,Graduate,Malaysia,5.7,WhatsApp,Yes,6.6,6,Single,3,7
500,20,Female,Undergraduate,UAE,6.7,Instagram,Yes,6.3,5,In Relationship,4,8
501,22,Male,Graduate,Poland,4,Facebook,No,8.1,7,Single,2,5
502,19,Female,Undergraduate,India,7,WhatsApp,Yes,5.8,5,In Relationship,4,8
503,21,Male,Graduate,Canada,4.6,Instagram,Yes,7.6,7,Single,3,6
504,20,Female,Undergraduate,Brazil,5.9,TikTok,Yes,6.6,6,Single,3,7
Student_ID,22,Male,Graduate,China,4.2,WeChat,No,8.1,7,In Relationship,2,5
505,19,Female,Undergraduate,Netherlands,3.5,Instagram,No,8.5,8,Single,2,4
506,21,Male,Graduate,New Zealand,4.4,Facebook,Yes,7.8,7,In Relationship,3,6
507,20,Female,Undergraduate,Singapore,5.4,TikTok,Yes,6.7,6,Single,3,7
508,22,Male,Graduate,Malaysia,5.8,WhatsApp,Yes,6.5,6,Single,3,7
509,19,Female,Undergraduate,UAE,6.8,Instagram,Yes,6.2,5,In Relationship,4,8
510,21,Male,Graduate,Poland,3.9,Facebook,No,8.2,7,Single,2,5
511,20,Female,Undergraduate,India,7.1,WhatsApp,Yes,5.7,5,In Relationship,4,8
512,22,Male,Graduate,Canada,4.5,TikTok,Yes,7.7,7,Single,3,6
513,19,Female,Undergraduate,Brazil,5.8,WhatsApp,Yes,6.7,6,Single,3,7
514,21,Male,Graduate,China,4.1,WeChat,No,8.2,7,In Relationship,2,5
515,20,Female,Undergraduate,Netherlands,3.4,Instagram,No,8.6,8,Single,2,4
516,22,Male,Graduate,New Zealand,4.3,Instagram,Yes,7.9,7,In Relationship,3,6
517,19,Female,Undergraduate,Singapore,5.5,TikTok,Yes,6.6,6,Single,3,7
518,21,Male,Graduate,Malaysia,5.9,WhatsApp,Yes,6.4,6,Single,3,7
519,20,Female,Undergraduate,UAE,6.9,Instagram,Yes,6.1,5,In Relationship,4,8
520,22,Male,Graduate,Poland,3.8,Facebook,No,8.3,7,Single,2,5
521,19,Female,Undergraduate,India,7.2,WhatsApp,Yes,5.6,5,In Relationship,4,8
522,21,Male,Graduate,Canada,4.4,Instagram,Yes,7.8,7,Single,3,6
Student_ID,20,Female,Undergraduate,Brazil,5.7,TikTok,Yes,6.8,6,Single,3,7
523,22,Male,Graduate,China,4,WeChat,No,8.3,7,In Relationship,2,5
524,19,Female,Undergraduate,Netherlands,3.3,Instagram,No,8.7,8,Single,2,4
525,21,Male,Graduate,New Zealand,4.2,Facebook,Yes,8,7,In Relationship,3,6
526,20,Female,Undergraduate,Singapore,5.6,TikTok,Yes,6.5,6,Single,3,7
527,22,Male,Graduate,Malaysia,6,WhatsApp,Yes,6.3,6,Single,3,7
528,19,Female,Undergraduate,UAE,7,Instagram,Yes,6,5,In Relationship,4,8
529,21,Male,Graduate,Poland,3.7,Facebook,No,8.4,7,Single,2,5
530,20,Female,Undergraduate,India,7.3,WhatsApp,Yes,5.5,5,In Relationship,4,8
531,22,Male,Graduate,Canada,4.3,TikTok,Yes,7.9,7,Single,3,6
532,19,Female,Undergraduate,Brazil,5.6,WhatsApp,Yes,6.9,6,Single,3,7
533,21,Male,Graduate,China,3.9,WeChat,No,8.4,7,In Relationship,2,5
534,20,Female,Undergraduate,Netherlands,3.2,Instagram,No,8.8,8,Single,2,4
535,22,Male,Graduate,New Zealand,4.1,Instagram,Yes,8.1,7,In Relationship,3,6
536,19,Female,Undergraduate,Singapore,5.7,TikTok,Yes,6.4,6,Single,3,7
537,21,Male,Graduate,Malaysia,6.1,WhatsApp,Yes,6.2,6,Single,3,7
538,20,Female,Undergraduate,UAE,7.1,Instagram,Yes,5.9,5,In Relationship,4,8
539,22,Male,Graduate,Poland,3.6,Facebook,No,8.5,7,Single,2,5
540,19,Female,Undergraduate,India,7.4,WhatsApp,Yes,5.4,5,In Relationship,4,8
Student_ID,21,Male,Graduate,Canada,4.2,Instagram,Yes,8,7,Single,3,6
541,20,Female,Undergraduate,Spain,6.1,Instagram,Yes,7.2,5,Single,4,7
542,23,Male,Graduate,Denmark,3.8,Twitter,No,7.8,8,In Relationship,2,4
543,19,Female,Undergraduate,Ireland,5.5,TikTok,Yes,6.8,6,Single,4,8
544,22,Male,Graduate,India,7.2,Facebook,Yes,5.9,4,Single,5,9
545,21,Female,Undergraduate,Switzerland,4.2,Instagram,No,7.5,7,In Relationship,2,5
546,24,Male,Graduate,Turkey,6.8,TikTok,Yes,6.2,5,Single,4,8
547,20,Female,Undergraduate,USA,5.9,Instagram,Yes,6.7,6,In Relationship,3,7
548,22,Male,Graduate,Mexico,6.5,Facebook,Yes,6.1,5,Single,4,8
549,19,Female,Undergraduate,France,4.7,Twitter,No,7.4,7,Single,2,5
550,23,Male,Graduate,Canada,5.2,Instagram,Yes,7,6,In Relationship,3,6
551,21,Female,Undergraduate,UK,6.3,TikTok,Yes,6.4,5,Single,4,8
552,24,Male,Graduate,Italy,4.9,Facebook,No,7.3,7,In Relationship,2,5
553,20,Female,Undergraduate,Russia,6.7,Instagram,Yes,6,5,Single,4,8
554,22,Male,Graduate,China,5.8,WeChat,Yes,6.5,6,In Relationship,3,7
555,19,Female,Undergraduate,Japan,4.5,Twitter,No,7.6,8,Single,2,4
556,23,Male,Graduate,Poland,6.4,Facebook,Yes,6.3,5,Single,4,8
557,21,Female,Undergraduate,Finland,4.1,Instagram,No,7.7,7,In Relationship,2,5
558,24,Male,Graduate,Spain,6.6,TikTok,Yes,6.2,5,Single,4,8
Student_ID,20,Female,Undergraduate,Denmark,4.4,Instagram,No,7.4,7,In Relationship,2,5
559,22,Male,Graduate,Ireland,5.7,Twitter,Yes,6.8,6,Single,3,7
560,19,Female,Undergraduate,India,7,Instagram,Yes,5.8,4,Single,5,9
561,23,Male,Graduate,Switzerland,4.3,Facebook,No,7.5,7,In Relationship,2,5
562,21,Female,Undergraduate,Turkey,6.9,TikTok,Yes,6.1,5,Single,4,8
563,24,Male,Graduate,USA,5.6,Instagram,Yes,6.9,6,In Relationship,3,7
564,20,Female,Undergraduate,Mexico,6.2,Facebook,Yes,6.3,5,Single,4,8
565,21,Male,Undergraduate,France,5.8,Instagram,Yes,6.7,6,Single,3,7
566,23,Female,Graduate,Canada,4.9,TikTok,No,7.3,7,In Relationship,2,5
567,20,Male,Undergraduate,UK,6.4,Facebook,Yes,6.2,5,Single,4,8
568,22,Female,Graduate,Italy,5.1,Twitter,No,7.1,7,In Relationship,2,5
569,19,Male,Undergraduate,Russia,6.7,Instagram,Yes,6,4,Single,4,8
570,24,Female,Graduate,China,5.5,WeChat,Yes,6.8,6,In Relationship,3,7
571,21,Male,Undergraduate,Japan,4.3,Twitter,No,7.6,8,Single,2,4
572,23,Female,Graduate,Poland,6.2,Instagram,Yes,6.4,5,Single,4,8
573,20,Male,Undergraduate,Finland,4.5,Facebook,No,7.4,7,In Relationship,2,5
574,22,Female,Graduate,Spain,6.3,TikTok,Yes,6.3,5,Single,4,8
575,19,Male,Undergraduate,Denmark,4.7,Instagram,No,7.2,7,In Relationship,2,5
576,24,Female,Graduate,Ireland,5.9,Twitter,Yes,6.6,6,Single,3,7
Student_ID,21,Male,Undergraduate,India,7.1,Facebook,Yes,5.7,4,Single,5,9
577,23,Female,Graduate,Switzerland,4.4,Instagram,No,7.4,7,In Relationship,2,5
578,20,Male,Undergraduate,Turkey,6.6,TikTok,Yes,6.2,5,Single,4,8
579,22,Female,Graduate,USA,5.4,Instagram,Yes,6.9,6,In Relationship,3,7
580,19,Male,Undergraduate,Mexico,6.5,Facebook,Yes,6.1,5,Single,4,8
581,24,Female,Graduate,France,4.8,Twitter,No,7.3,7,In Relationship,2,5
582,21,Male,Undergraduate,Canada,5.7,Instagram,Yes,6.7,6,Single,3,7
583,23,Female,Graduate,UK,6.1,TikTok,Yes,6.4,5,Single,4,8
584,20,Male,Undergraduate,Italy,4.6,Facebook,No,7.2,7,In Relationship,2,5
585,22,Female,Graduate,Russia,6.8,Instagram,Yes,5.9,4,Single,5,9
586,19,Male,Undergraduate,China,5.6,WeChat,Yes,6.8,6,In Relationship,3,7
587,24,Female,Graduate,Japan,4.2,Twitter,No,7.5,8,Single,2,4
588,21,Male,Undergraduate,Poland,6.3,TikTok,Yes,6.3,5,Single,4,8
589,23,Female,Graduate,Finland,4.4,Instagram,No,7.4,7,In Relationship,2,5
590,20,Male,Undergraduate,Spain,6.5,Facebook,Yes,6.2,5,Single,4,8
591,22,Female,Graduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
592,19,Male,Undergraduate,Ireland,5.8,Instagram,Yes,6.6,6,Single,3,7
